,Aruba,Afghanistan,Angola,Albania,Andorra,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Cuba,Curacao,Cayman Islands,Cyprus,Czechia,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,"Egypt, Arab Rep.",Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,"Hong Kong SAR, China",Honduras,Croatia,Haiti,Hungary,Indonesia,Isle of Man,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Liechtenstein,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Mexico,Marshall Islands,North Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Puerto Rico,"Korea, Dem. People's Rep.",Portugal,Paraguay,West Bank and Gaza,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,South Sudan,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Tuvalu,Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
2011,,,556243395000.0,639263270000.0,,780627547100.0,192160243300,2122970400100.0,621000000.0,,331515000000,156655160000.0,12515555300.0,538052479700.0,292869900000.0,1303991915300,1718308934200.0,3331035519500.0,46570870000.0,6961370000.0,5144020000.0,13971788500.0,41422131300.0,1829000000.0,,11742290600.0,506132000000.0,,6988000000.0,34410818400.0,63755066793.2867,191697000000.0,624572814000,331133328000.0,,49964924576788.0,,5310252487800.0,3238783697000,3436997460400.0,2329845263800,144436000000000,91070234200.0,84837320700.0,8059440494717.5,9933000000.0,5241600000.0,,11102396000.0,2858876000000.0,1053084090000.0,,,874659780000.0,575527774356.036,4061577065000,19183903000.0,605566628500,9283192100.0,312572000000.0,13347798000.0,227628812200.0,74329000000.0,,600886568000,,,2372027757700,484088875000.0,14074800000.0,38113349800.0,,20215485979100.0,11544000000.0,141807613500.0,3032772000000.0,55683886000,,12695000000.0,134768772600,3004000000.0,,4289613624400.21,114176800000,137416595045.012,180290174500.0,23606508000000.0,1768821873848100,,27155540000000,161633902000.0,5104315381105500,50116911585800.0,780240897000.0,314191720000.0,448920900000.0,408968000000.0,15959145983.4437,81924500000000.0,3790819467300.0,1629000000000,206862000000.0,33922759796200.0,120451300.0,,555914100000000,10559900000.0,37562084604100.0,33759002790300.0,,9802523500.0,,,2607051401200.0,20338119100.0,21777458000.0,69733386000.0,13847298000.0,99471000000.0,,348920264600.0,,63455993325.0411,6752627730300.0,,4908005152000,162978600.0,217670000000.0,1465155233000.0,11742000000.0,10461372505900.0,1967353000.0,8865205975400.0,456000000.0,216215117200.0,102106081200.0,219131816000.0,,664116912900,59721890000.0,,1529661631900.0,8889108246700.0,93424263371.8808,419728209000.0,888397000000.0,444232227199.5,,57196581000.0,11138000000.0,4627062759400.0,25185687000.0,116707000000,3383538303200,,,698785000000.0,,,62639001000.0,59956772628900,6168400000.0,,,194537900000.0,23263300000000.0,1226939000000,688991080685.763,445715500.0,2875151062100,551126400000,4693100000.0,4742885480500.0,10622844432.0,,,1949018100000.0,10672000000.0,,,57999735000.0,25101644000.0,1496611000000,16077723600,1736400000.0,12630442600.0,409602000000.0,,2135085000000.0,1170016623900.0,6368348000000,3277508200.0,,1326564454.17086,478798700.0,,43110018800.0,323428832200.0,,20672724365100.0,20505929062700.0,1922259000000.0,364515796600,2436726217000.0,24809846467900.0,,24637622000.0,,14331000000.0,1715938000000000.0,32897000000.0,,2789393900.0,111370261700.0,1137717289500.0,,38526173100.0
2010,,,501345818300.0,602020640000.0,,655948000000.0,157471459300,2172947492900.0,668000000.0,,300206000000,147851670000.0,9230594100.0,488546676400.0,277273200000.0,1366389411500,1429393463600.0,2579139803100.0,42479573000.0,4924500000.0,4786670000.0,13575845800.0,34955384100.0,1619000000.0,,10035269400.0,462672000000.0,,5226000000.0,32475410900.0,57381790683.0201,196883000000.0,591484965000,303969126000.0,,43133094273017.0,,6658098420700.0,3007564095000,2652746114200.0,2403741612000,120134000000000,85996444000.0,81039510500.0,7282346263504.66,9832000000.0,,,11397832000.0,2678928000000.0,981204470000.0,,,814063996000.0,574880880273.217,4257418307200,18508988000.0,558605193800,2165503000.0,314429000000.0,10494515000.0,,69985000000.0,,567745190000,,,2108553091800,471716428000.0,12170300000.0,27208341900.0,,16955272075500.0,11571000000.0,142584405000.0,3761940000000.0,61593745000,,10758000000.0,125949795600,2903000000.0,,4060795513711.03,101340900000,134014106086.279,194548553500.0,22686705000000.0,1537719772734300,,22552237707300,157472989000.0,5627812503752000,47901344187800.0,730742862000.0,282413380000.0,446406600000.0,390669000000.0,14218273749.0494,77486100000000.0,3687567575200.0,1432000000000,179994400000.0,29155867793000.0,107202600.0,,485463500000000,10041000000.0,32076929636300.0,34815127678800.0,,23043529300.0,,,2109264887700.0,19782095700.0,19066668000.0,65326524000.0,11278104000.0,81540000000.0,,319889702700.0,,51858610000.0,6585959294100.0,,4646938748000,176688200.0,201578000000.0,1388595700000.0,11313000000.0,,1960554000.0,5928404649000.0,467000000.0,170646759300.0,89412125700.0,206282602200.0,,624696995400,60160385000.0,,1483238543000.0,9644605340000.0,83786117620.5039,404084008000.0,854679000000.0,466064233299.475,,53668927000.0,9514562500.0,4632589041000.0,21748569000.0,102739000000,3415512601200,,,664751000000.0,,,66765647000.0,58913761588100,5791235900.0,,,177301500000.0,19337693707800.0,1042002000000,653261000000.0,8409727000.0,2739972282400,521467700000,5042800000.0,2423957536500.0,10097406340.0,,,1818698300000.0,10961000000.0,,,53802208000.0,23835079000.0,1397605000000,19787716800,,11819446700.0,488758000000.0,,2184056000000.0,924628509800.0,5665776000000,3238645100.0,,1173824161.93596,,,43573399500.0,281297040800.0,,16455796611600.0,17869651489400.0,1637699000000.0,324277657400,2324765378000.0,19718734620400.0,,21350988000.0,,16482000000.0,1638477000000000.0,32898000000.0,,2419358000.0,134112073900.0,1017286282100.0,30015400000.0,42105116400.0
2009,,,568021538900.0,605489791200.0,,823882634200.0,116469167500,1926371821700.0,751000000.0,,280712000000,132046360000.0,9107955500.0,434611403500.0,252783600000.0,1272840460800,1143539136000.0,2561555875200.0,42595714000.0,4197990000.0,4805490000.0,13247492800.0,31147481300.0,1569000000.0,,9037440200.0,346210248900.0,,5240046400.0,25226333200.0,51685959080.7909,177232000000.0,519811390000,281478608000.0,,34439611949939.5,,5854164503100.0,2631224856800,1779441799800.0,2222288871900,108395000000000,88656127900.0,74859189200.0,6133718805655.32,7247000000.0,,,10287190000.0,2333309000000.0,869338830000.0,,,809686309000.0,484301047290.607,4074084504500,16119428000.0,576832234600,1945708400.0,296076000000.0,8654775000.0,,65835000000.0,,521381245000,,,1602387319600,435663439000.0,,21474447900.0,,16376387070900.0,11052000000.0,132828611700.0,2904519000000.0,63781852000,,7764000000.0,114505445700,2896000000.0,,3434365659835.86,87965900000,138214121097.994,161205458000.0,20672277000000.0,1310433886958400,,19473162403300,156582933000.0,5498933021934500,45166299478800.0,714184074000.0,245508345000.0,397984400000.0,410767000000.0,12732065982.024,69628200000000.0,3583641958400.0,1298000000000,193254840200.0,24957717596600.0,116731200.0,,413126100000000,,29363452949300.0,32878339025100.0,,22510437300.0,,,1872452892300.0,19044888700.0,16322704000.0,57177017000.0,9997792000.0,69873000000.0,,296666543900.0,,45387744500.0,6998244253300.0,,3969865797000,160536500.0,182644000000.0,1096134237500.0,10453900000.0,,2022565000.0,,447000000.0,167477529000.0,75316293000.0,188851565600.0,,540756907600,67028006900.0,,1330218328100.0,11384658935000.0,74764981684.5939,372353110000.0,788329000000.0,363380818099.591,,48135923000.0,7898011700.0,4439600835400.0,18265074000.0,81165000000,2828650679900,,,581621000000.0,,,61934096000.0,43690121745800,6203592200.0,,,157464500000.0,15371809923400.0,1018642000000,613015901600.0,7876293700.0,2778547663800,448355600000,3312600000.0,1899767832000.0,9265919756.0,,,1820018700000.0,9753000000.0,,,46148644000.0,22352498000.0,1253644000000,17548589800,,11081581100.0,424583000000.0,,1873825000000.0,837671148000.0,4607988000000,2998745500.0,,1195784194.48648,,,29900120700.0,235660913600.0,,14361536966600.0,18249378563600.0,1488798000000.0,285511918400,2054160749000.0,20567967684700.0,,21986581000.0,,17872000000.0,1513984652651720.0,32899000000.0,,2164188000.0,,918180276500.0,20853188100.0,34764120700.0
2008,,,570729276100.0,612473494500.0,,976792637400.0,142760583900,2382755936000.0,863000000.0,,291534000000,149881030000.0,9615132100.0,534710554400.0,283576900000.0,1215217317600,1015623080500.0,2629924847300.0,54267798000.0,4834480000.0,5473770000.0,15465782000.0,34274168600.0,1862000000.0,,10064984000.0,374694395000.0,,5282421300.0,22061480000.0,56533115135.7975,,593355429000,289411399000.0,,41846908067832.9,,5090494529600.0,2820485138200,1779441799800.0,2175103723700,118656000000000,77700375000.0,80485656900.0,7547918585867.72,8519100000.0,,,12148918000.0,2623964000000.0,962639530000.0,,,919508538000.0,541275889571.968,3611777043000,17894428000.0,702491598800,1614131800.0,362406000000.0,12471857000.0,,79317000000.0,,575187523000,,,1600278203400,470538846000.0,,24556481500.0,,15939228032100.0,9751000000.0,132728080700.0,3236140000000.0,80081590000,,8570000000.0,124194301900,2808000000.0,,3735692912707.67,119210000000,173511209619.473,152249101500.0,24089854000000.0,1541278114590700,,19855543675900,159295150000.0,5591371928929800,46000531120200.0,900263139000.0,284694954000.0,458075500000.0,566329000000.0,14816511985.1737,82459100000000.0,4251058076400.0,1197994617800,239669136800.0,27780214004800.0,120609000.0,,443780800000000,,26828924455900.0,27728285952600.0,,17640981300.0,,,2070974517900.0,18588029300.0,22878155000.0,62882637000.0,14467417000.0,89383000000.0,,323745000000.0,,59375296000.0,8516104718800.0,,4723162255000,125016100.0,208162000000.0,1150564615700.0,10567900000.0,,2800102000.0,,532000000.0,148558990300.0,80271129400.0,212011764900.0,,619646918000,58225750900.0,,1006049333400.0,13525777936700.0,82281867197.2136,403882320000.0,878983000000.0,322624981199.637,,53106154000.0,8901650100.0,5279313739100.0,20568929000.0,96556000000,2896640197700,,,665372000000.0,,,68431988000.0,48722927504400,5696415100.0,,,198838900000.0,22085957922400.0,869082000000,654571218400.0,8417541700.0,2767609048800,497872200000,4020000000.0,1412883000000.0,11934794240.0,,,2329960400000.0,10915000000.0,,,56908987000.0,27387855000.0,1466856000000,16340880900,,11516591900.0,551121000000.0,,1533999000000.0,786881267300.0,5816132000000,3123693200.0,,838407644.620959,,,32570932600.0,276149063300.0,,14661611172700.0,15619340372700.0,2455265000000.0,312601821900,2350561029000.0,20031702498800.0,,27331994000.0,,19238000000.0,1624812940697370.0,32900000000.0,,2106288000.0,,1115107550100.0,24094570800.0,22861048400.0
2007,,,482973069400.0,591062913800.0,,804619309700.0,125711372500,2221101659700.0,845000000.0,,254646000000,148464300000.0,8410147700.0,437450518000.0,273182300000.0,1166080926300,865442015100.0,2680894892800.0,51750628000.0,4104060000.0,5816810000.0,14043013700.0,29419829100.0,1702000000.0,,9197255600.0,320181261100.0,,4760335900.0,21470796000.0,40471984741.3212,,588091191000,277216674000.0,,37748229067715.0,,5139050864500.0,2547197636600,1911543055100.0,2441996955200,105461000000000,69067000000.0,80754935000.0,7076701234073.47,7934100000.0,,,10752808000.0,2543149000000.0,940980440000.0,,,877642964000.0,513146895081.759,3129789465300,15636623000.0,556246400300,1793097800.0,383530000000.0,13290248000.0,,73465000000.0,,567834057000,,,1422376538700,479361999000.0,,19703211600.0,,17383443611400.0,10208000000.0,121515149600.0,2691602000000.0,79037729000,,7342000000.0,131767182700,2754000000.0,,3619171567052.18,116437800000,167089748919.493,147649362300.0,22749278000000.0,1401129221822700,,16215407521300,163860273000.0,5286109416265900,31422753000000.0,1129744911000.0,277829563000.0,477282900000.0,544804000000.0,12512159210.841,81859200000000.0,4803455453500.0,1062580708700,211016263900.0,22658526124400.0,128060700.0,,429757600000000,,22017812292000.0,24255786971900.0,,16464846000.0,,,1991094974600.0,17193894500.0,20644371000.0,61540694000.0,16281082000.0,93027000000.0,,284366000000.0,,57726488800.0,6214963124800.0,,4573097144000,147115800.0,198008000000.0,978151198800.0,8991200000.0,,2385588000.0,,746000000.0,127950389400.0,71683295400.0,209099780800.0,,605483371700,49065220900.0,,755182323100.0,16649573084200.0,74689060605.6115,406732179000.0,851718000000.0,298197061899.664,,54842311000.0,7314048900.0,4986981666500.0,16634664000.0,77257000000,2764455144000,,,607880000000.0,,,66938464000.0,43281352670500,5384256000.0,,,178815000000.0,19238649055900.0,892767000000,592326914500.0,7722515300.0,2878884295600,449033700000,4335400000.0,1370971000000.0,12476686552.0,,,2116563600000.0,,,,54663395000.0,26311661000.0,1423362000000,14525623000,,10738361900.0,511993000000.0,,1505525000000.0,762622929900.0,5221008000000,2656182200.0,,742885452.196196,,,30902229900.0,283987737600.0,,14332333635300.0,13307894710700.0,2089651000000.0,251216965500,2402136103000.0,14329709065200.0,,26964786000.0,,18251000000.0,1412742329967810.0,32901000000.0,,,,1084638985300.0,19944421900.0,20476029600.0
2006,,,448859729900.0,495086946300.0,,598405675500.0,105074451500,1965667309800.0,878000000.0,,230733000000,140544630000.0,7600190700.0,449600568000.0,258746000000.0,894905156500,830865498600.0,2311394548200.0,42205339000.0,3929500000.0,6039310000.0,11943669700.0,27411699600.0,1721000000.0,,8811963400.0,267805028500.0,,4204711600.0,19349241300.0,30567095878.6588,,555983789000,261861626000.0,,33184050027092.8,,5120171661700.0,2218668681500,1469694000000.0,1579578000000,92625000000000,74861617600.0,,6428195119515.97,8023000000.0,,,9810168000.0,2252994000000.0,885999670000.0,,,829232646000.0,490774000998.655,2796952158400,14606164000.0,431856114900,2555481200.0,354333000000.0,11763160000.0,,68415000000.0,,536929969000,,,1372805875500,488199088000.0,,16192731400.0,,14720356896500.0,10798000000.0,,1909617000000.0,68431278000,,6524000000.0,122877407500,2395000000.0,,3317130865431.22,105006200000,157547535698.944,143970972100.0,19929940000000.0,1284682299215000,,14747770298900,149847617000.0,4995062425331000,,1155902858000.0,250014163000.0,452597300000.0,,11101062950.5497,80041600000000.0,3809243024200.0,1017742649300,190103609200.0,20219815739800.0,125082000.0,,385837200000000,,19016446535300.0,21355182078500.0,,12453200700.0,,,1919437981400.0,14918650300.0,18657767000.0,60002469000.0,13862596000.0,74716000000.0,,247238118500.0,,50382163200.0,4767281838700.0,,4362542393000,140659000.0,172209000000.0,947598549700.0,8330400000.0,,1658886000.0,,1010000000.0,113248617000.0,63661001700.0,203667193700.0,,571070846000,37110777800.0,,719832152400.0,13231555155400.0,66600267767.3138,377256651000.0,774148000000.0,289664408099.674,,49610390000.0,5494363600.0,5198577760700.0,14133074100.0,63691000000,2771278528800,,,524955000000.0,,,63389612000.0,39675760899300,5492110600.0,,,126553600000.0,15244581021500.0,794026000000,481010265500.0,7640759200.0,2585882087600,417845900000,3383800000.0,1398530000000.0,11299661348.0,,,1743232800000.0,,,,49839768000.0,22477597000.0,1317603000000,13471910200,,12794349800.0,459938000000.0,,,731938703900.0,5010546000000,2611061000.0,3855023500.0,491177170.023709,,,28195580700.0,259015085000.0,,12208722608800.0,11437111969800.0,1716507000000.0,237168095400,2342101902000.0,9430355161200.0,,20273321000.0,,19380000000.0,1112995070564870.0,23464000000.0,,,,991748404600.0,12791719300.0,23445920200.0
2005,,,422058984400.0,455436100800.0,,506285542200.0,94668607900,1894418837600.0,912000000.0,,212734000000,132771450000.0,6624500000.0,349182516000.0,246092300000.0,833055281600,811577188400.0,1955652570100.0,36410494000.0,3828640000.0,5382240000.0,11979728500.0,22544693800.0,1713000000.0,,8379545600.0,227410963700.0,,4039386500.0,19767366500.0,30553604394.6581,,527896581000,254623810000.0,,29487428155850.5,,5143458033000.0,2138295793500,1665322100000.0,1561966000000,78708000000000,72931199000.0,,5962178753606.53,6661300000.0,,,9280929000.0,2020955000000.0,797102190000.0,,,727619451000.0,462817053817.587,2839545338500,13305727000.0,354638669100,4177046100.0,327440000000.0,9745561000.0,,64185000000.0,,508453598000,,,1171566931700,441654124000.0,,,,,10618000000.0,77901000000.0,1640209598100.0,60393090000,,7018000000.0,115431977100,2241000000.0,,3018662825855.97,100913100000,145528969726.785,141470282200.0,17313142000000.0,1183137537764800,,12137618602300,137095336000.0,4796749990661200,,1052543049000.0,241746692000.0,419232500000.0,,10654747365.0457,76445500000000.0,3382986700000.0,812134248500,131112645400.0,17438084907700.0,,,343052100000000,,16056305967200.0,22091064805000.0,,13080061200.0,,,1794921433700.0,13617150500.0,16323163000.0,53817908000.0,11374100000.0,65071000000.0,,228416459200.0,,46182536600.0,4613891062200.0,,4013910236000,153444700.0,157411000000.0,856263659200.0,7130500000.0,,,,1170000000.0,111977237600.0,78837760400.0,180893618214.312,,527937997300,31903867300.0,,725450525000.0,9731496183600.0,63768937800.0,350447240000.0,709732000000.0,272094476899.694,,50453613000.0,6061260600.0,4380235886200.0,13117053600.0,56514000000,2760434476400,,,445387000000.0,,,58934518000.0,38734607984900,5696415100.0,,,99900600000.0,12567676929300.0,643663000000,356352058600.0,7992200800.0,2416256278400,378827600000,2706700000.0,1483141000000.0,10345316588.0,,,1464685200000.0,,,,41827537000.0,19999898000.0,1216289000000,16894757800,,9966327900.0,526835000000.0,,1327666914200.0,773775882400.0,4867282000000,2728238900.0,4159000000.0,414548047.618076,,,26204890200.0,241530303700.0,,10959274790000.0,9569482580300.0,1601872000000.0,205036227500,2200804550000.0,7210041468400.0,,15044891000.0,,20496000000.0,993848034694272.0,23325000000.0,,,,838609043200.0,12941090900.0,25124378300.0
2004,,,377006685500.0,391957740200.0,,440498634800.0,81717784000,1659488010700.0,911000000.0,,189098000000,125903370000.0,6051779600.0,215930325500.0,231232000000.0,871473061100,751792211400.0,1416495071500.0,31841827000.0,3525850000.0,4709780000.0,10848242000.0,22795494900.0,1607000000.0,,7300108500.0,211621201200.0,,3666379300.0,17495439100.0,32139928714.4571,,491755792000,232281545000.0,,24911189443628.8,,4759519682000.0,2043835855000,1348100000000.0,1328414498400,69862472892500,70918944500.0,,5574966896861.29,5296500000.0,,,9188830000.0,1796731000000.0,752236930000.0,,,653151387000.0,425699459463.583,2668745618900,11631354000.0,286406526100,5354612500.0,306133000000.0,8350999000.0,,57730000000.0,,478228216000,,,1072101000000,412473265000.0,,,,,10511000000.0,90015140000.0,,59881638000,,6147000000.0,116096011900,2306000000.0,,2760562689462.53,97391600000,138292001092.548,133012924300.0,16024785000000.0,1004626052693500,,9176420342900,121621253000.0,4869316328155800,,823411630000.0,233600979000.0,405289300000.0,,8670614764.04757,72155200000000.0,3017829348800.0,706551585000,123143362300.0,14863592369300.0,,,318369900000000,,13814133894800.0,23371307066400.0,,11739471400.0,,,1747934217800.0,13395572800.0,13641361000.0,50700975000.0,9716868000.0,61092000000.0,,208340497000.0,,37416393800.0,4961018797700.0,,3809017766000,149354800.0,143536000000.0,809700623000.0,6620900000.0,,,,1372000000.0,106087468500.0,62372320600.0,164387522361.97,,484743292000,31611233800.0,,679950250300.0,7283017450300.0,58719236800.0,332405908000.0,657674000000.0,254554810599.713,,48110598000.0,5441422500.0,3139350765300.0,11800420400.0,50379000000,2661238757300,,5349882000.0,418961000000.0,,,57674305000.0,36172179046300,5111524100.0,,,83429000000.0,10778476770400.0,575664000000,277137888900.0,7389902800.0,2326809358300,339534200000,2367700000.0,1421459000000.0,9862458700.0,,,1526073500000.0,,,,36396648000.0,18632827000.0,1138422000000,17901369100,,7557666700.0,418146000000.0,,,839491565600.0,4189077000000,2341835300.0,4372750300.0,620641336.638842,,,26216359800.0,215378763800.0,,8174821908600.0,8500270998400.0,1490435000000.0,186756717300,2066652024000.0,6906392295400.0,,11131210000.0,,20185000000.0,870451871789477.0,22675000000.0,,,,756326337500.0,12206696300.0,27634192300.0
2003,,,351915136300.0,362198694100.0,,339529546000.0,58319116400,1715566923800.0,1046000000.0,,166607000000,116604030000.0,4870193200.0,169848266300.0,217514100000.0,905913648000,620479216900.0,766711232900.0,25222589000.0,3491430000.0,4548750000.0,10182640700.0,19099604200.0,1736000000.0,,6921799600.0,191748318700.0,,3785162500.0,13612761300.0,27325781136.6343,,453206075000,221367206000.0,,20845117297102.4,,4214024410800.0,1875143540100,1376800000000.0,1357885341400,63354618368600,69583223800.0,,5319040420492.21,4688100000.0,,,8555466000.0,1430682000000.0,697613170000.0,,,609548606000.0,402025825839.32,2372218327900,10490331000.0,244287919300,5430498400.0,279146000000.0,7190719000.0,,53392000000.0,,450292858000,,,1044058000000,386461077000.0,,,,,,69255960000.0,,57348221000,,6091000000.0,109852317800,2266000000.0,,2412614735196.46,83838000000,131462355892.996,133913312500.0,13580713000000.0,793209570253000,,7509638458900,119348901000.0,4430878594814300,,718370830000.0,208858569000.0,387565600000.0,,6417750717.66506,66500000000000.0,2626483332300.0,629187489500,105915838500.0,12404501599000.0,,,284045300000000,,10534525436000.0,20704316852200.0,,11194000000.0,,,1603448316000.0,13228565100.0,11516528000.0,46473998000.0,8053381000.0,51852000000.0,,189786164400.0,,36115739000.0,4556700842400.0,,3577106183000,,118270000000.0,818870405100.0,6686300000.0,,,,1198000000.0,104435692600.0,41472490700.0,155645096452.803,,405180580100,35103744000.0,,637777966100.0,10904984409900.0,54274102800.0,312510597000.0,603336000000.0,234636102399.736,,42438775000.0,4590881100.0,3433896874100.0,10318857500.0,45631000000,2576348689000,,4924766000.0,385931000000.0,,,53690714000.0,33074611263300,4351980400.0,,,66774800000.0,8741714953800.0,475837000000,241116282800.0,5328105600.0,2258388595000,276892100000,1812000000.0,1502971000000.0,9656146900.0,,,1165622500000.0,,,,29694456000.0,16349151000.0,1065572000000,18190478500,,6147633800.0,298302000000.0,,3079117261500.0,862104347400.0,3482049000000,1860076300.0,3634828500.0,878781806.562211,,,25521548200.0,177659125800.0,,7476686508100.0,8390288481700.0,1277852000000.0,148372017200,1862160017000.0,5445289445700.0,,7059953000.0,,18791000000.0,713840870169358.0,18482000000.0,,,,654783387700.0,9361726000.0,29793124900.0
2002,,,320827000000.0,344532419400.0,,292726351800.0,42393747600,1346509373000.0,1053000000.0,,147183000000,112652830000.0,3401863400.0,120811287400.0,214385200000.0,861804815000,619806889100.0,706323743000.0,21903933000.0,3476630000.0,4533320000.0,9584755800.0,16842611600.0,1700000000.0,,6859037700.0,192679920700.0,,4117629200.0,12152236500.0,29477717186.166,,434800206000,220036715000.0,,19323765919599.0,,4439715036100.0,2182560897700,654600000000.0,1304708175900,58569467204300,68149292100.0,,5087867747276.41,4181000000.0,,,8598340000.0,1306945000000.0,660364290000.0,,,615906686000.0,447068288591.7,2257105925700,10934226000.0,241199221500,4621539500.0,263264000000.0,6307491000.0,,51285000000.0,,446304604000,,,1168597000000,376662412000.0,,,,,,90550250000.0,,53400114000,,,109265732100,2274000000.0,,2164655832599.44,77710000000,117679652151.233,122309745400.0,12409787000000.0,780996859511300,,6594116763800,122305588000.0,3730647487658600,,651551403000.0,210510296000.0,384719400000.0,,5720879459.81475,64317100000000.0,2842514428900.0,629575253800,91310516800.0,10982601648700.0,,,257102800000000,,10255074651800.0,19513964988000.0,,,,,1441341144700.0,12880308600.0,10508067000.0,44840258000.0,7199184000.0,46916000000.0,,177204506600.0,,28051767100.0,2904914317000.0,,3489497583000,,125705000000.0,745741695700.0,6401800000.0,,,,1246000000.0,99789076600.0,32930292300.0,163967428793.745,,387607351500,31766369300.0,,637766303400.0,7106775417700.0,52444323500.0,306267195000.0,595997000000.0,234497228599.736,,37501373000.0,3926436600.0,3087494159300.0,10695725200.0,44564000000,2446473418800,,5264057800.0,352993000000.0,,,53807181000.0,27203215519700,3793482700.0,,,56377500000.0,7452435429200.0,544495000000,212266736700.0,4405423800.0,2077089419600,251974100000,1711238500.0,1286356000000.0,9273630200.0,,,986228800000.0,,,,27468078000.0,15356436000.0,1033073000000,16933951200,,6714755900.0,291204000000.0,,5192946255500.0,762920542700.0,3134265000000,1503699400.0,2559632500.0,1232826396.64784,,,25444485200.0,144146146100.0,,6125752296700.0,8348063336300.0,1090727000000.0,148164789500,1771385758000.0,4998694830500.0,,8923537000.0,,16070000000.0,581659890496071.0,18543000000.0,,,,605805135900.0,7677687200.0,36491400500.0
